Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"CHINZ                    ";2;F;"PUR SANG";3;0;3;5200,00;3276,00;8476,00;1733,33;
"HOLLY GOLIGHTLY          ";3;F;"PUR SANG";2;0;1;5200,00;0,00;5200,00;2600,00;420
"ILYOUCHKINE              ";4;M;"PUR SANG";4;0;3;5200,00;2105,00;7305,00;1300,00;325
"RISE HIT                 ";7;H;"PUR SANG";9;0;2;5200,00;1638,00;6838,00;577,78;175
"AMICA NOSTRA             ";4;F;"PUR SANG";2;0;1;5200,00;0,00;5200,00;2600,00;450
"KEN                      ";3;H;"PUR SANG";5;1;1;5190,00;2802,00;7992,00;1038,00;230
"CHIKA DREAM              ";11;H;"PUR SANG";2;0;2;5175,00;1630,00;6805,00;2587,50;305
"ANAMORPHOSE              ";4;F;"PUR SANG";5;0;3;5175,00;1518,00;6693,00;1035,00;290
"GOODBYE DIANE            ";4;F;"PUR SANG";7;1;1;5150,00;2085,00;7235,00;735,71;195
"SIGNORINA GINA           ";4;F;"PUR SANG";10;0;3;5150,00;2084,00;7234,00;515,00;175
"CHANTEUSE                ";3;F;"PUR SANG";10;0;3;5150,00;2781,00;7931,00;515,00;230
"FLAG FEN                 ";8;H;"PUR SANG";4;0;2;5150,00;0,00;5150,00;1287,50;280
"AER TURAS                ";3;F;"PUR SANG";4;0;2;5150,00;2781,00;7931,00;1287,50;290
"ROLLEVILLE               ";4;F;"PUR SANG";4;0;3;5140,00;2081,00;7221,00;1285,00;360
"HODENG                   ";5;H;"PUR SANG";16;0;6;5125,00;0,00;5125,00;320,31;155
"NICE PARTY               ";4;F;"PUR SANG";4;0;3;5125,00;2075,00;7200,00;1281,25;270
"ADRENALINE TIM           ";6;F;"PUR SANG";4;1;2;5120,00;1612,00;6732,00;1280,00;560
"TAYOUMA                  ";4;F;"PUR SANG";8;1;2;5100,00;1539,00;6639,00;637,50;200
"BALLINARY                ";4;F;"PUR SANG";8;1;2;5100,00;2065,00;7165,00;637,50;420
"KHALEESI MIX             ";7;F;"PUR SANG";7;0;2;5100,00;1606,00;6706,00;728,57;150
"UP AND GO                ";3;F;"PUR SANG";7;0;3;5100,00;2754,00;7854,00;728,57;310
"JUST YOU AND ME          ";8;H;"PUR SANG";5;0;3;5100,00;1606,00;6706,00;1020,00;250
"PLUS VALUE               ";4;F;"PUR SANG";5;0;3;5100,00;2065,00;7165,00;1020,00;295
"NAVALMORAL               ";5;H;"PUR SANG";3;0;2;5100,00;2065,00;7165,00;1700,00;270
"MASVINGO                 ";3;M;"PUR SANG";5;0;2;5100,00;2754,00;7854,00;1020,00;305
"CERRADO                  ";3;F;"PUR SANG";3;0;2;5100,00;0,00;5100,00;1700,00;320
"SILVER CRISTAL           ";4;F;"PUR SANG";5;0;3;5100,00;0,00;5100,00;1020,00;325
"MINCE AFFAIRE            ";5;F;"PUR SANG";5;1;1;5075,00;131,00;5206,00;1015,00;160
"SANG DE COEUR            ";3;H;"PUR SANG";7;0;6;5065,00;2734,00;7799,00;723,57;555
"ZAMBACHA ROSETGRI        ";6;F;"PUR SANG";10;0;4;5050,00;1590,00;6640,00;505,00;155
"LIE HIGH                 ";7;M;"PUR SANG";13;0;4;5050,00;1590,00;6640,00;388,46;150
"LARS                     ";5;H;"PUR SANG";2;0;2;5050,00;2045,00;7095,00;2525,00;395
"DEVNA                    ";3;F;"PUR SANG";7;1;3;5040,00;2721,00;7761,00;720,00;615
"AIR CHIEF AMOUR          ";4;F;"PUR SANG";7;1;2;5025,00;2033,00;7058,00;717,86;545
"MUTUAL                   ";4;H;"PUR SANG";8;0;4;5025,00;2034,00;7059,00;628,13;335
"WINK OLIVER              ";9;H;"PUR SANG";9;0;5;5025,00;0,00;5025,00;558,33;260
"RAIN GEORGE              ";2;F;"PUR SANG";3;1;1;5020,00;3162,00;8182,00;1673,33;320
"ANGELINO                 ";3;M;"PUR SANG";4;0;3;5010,00;2704,00;7714,00;1252,50;360
"SKY GLORY                ";3;H;"PUR SANG";1;1;0;5000,00;0,00;5000,00;5000,00;
"JERIMADETH               ";2;F;"PUR SANG";1;1;0;5000,00;0,00;5000,00;5000,00;
"CHAMAILLE                ";4;F;"PUR SANG";7;1;2;5000,00;0,00;5000,00;714,29;250
"STARK DANON              ";13;H;"PUR SANG";7;1;0;5000,00;1575,00;6575,00;714,29;220
"GIULINA                  ";3;F;"PUR SANG";2;1;1;5000,00;2700,00;7700,00;2500,00;275
"KALISHA                  ";2;F;"PUR SANG";2;1;0;5000,00;0,00;5000,00;2500,00;
"CONTRE ORDRE             ";3;H;"PUR SANG";1;1;0;5000,00;0,00;5000,00;5000,00;
"LA MALAGUETA             ";2;F;"PUR SANG";1;1;0;5000,00;0,00;5000,00;5000,00;
"DESERT STAR              ";3;F;"PUR SANG";2;1;0;5000,00;0,00;5000,00;2500,00;
"SICAIRE                  ";6;H;"PUR SANG";5;0;3;5000,00;1575,00;6575,00;1000,00;215
"SANDYSSIME               ";6;H;"PUR SANG";8;0;2;5000,00;1575,00;6575,00;625,00;365
"DEMONSTRATION            ";3;F;"PUR SANG";10;0;3;5000,00;2700,00;7700,00;500,00;270
"SPRING STREET            ";4;F;"PUR SANG";5;0;2;5000,00;2025,00;7025,00;1000,00;365
"NORREY                   ";3;F;"PUR SANG";1;0;1;5000,00;2700,00;7700,00;5000,00;
"MISSVERI                 ";3;F;"PUR SANG";1;0;1;5000,00;2700,00;7700,00;5000,00;
"FLIGHT OF THUNDER        ";4;F;"PUR SANG";4;0;3;5000,00;0,00;5000,00;1250,00;300
