;Cheval;Age;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur;spec
52;PACHA SENAM              ;5;H;PUR SANG;4;1;3;57380,00;0,00;57380,00;14345,00;630.0;haie
53;RAFFLES SAINTE           ;5;F;PUR SANG;4;0;4;57150,00;0,00;57150,00;14287,50;630.0;haie
54;MAGISTADOR               ;9;H;PUR SANG;4;0;3;57000,00;0,00;57000,00;14250,00;630.0;haie
55;MONTY SAGA               ;5;H;PUR SANG;7;2;3;56985,00;0,00;56985,00;8140,71;590.0;haie
56;GARO DE JUILLEY          ;9;H;PUR SANG;6;1;3;56750,00;0,00;56750,00;9458,33;655.0;haie
57;INSIDE MONTLIOUX         ;4;H;PUR SANG;4;2;0;56040,00;0,00;56040,00;14010,00;600.0;haie
58;HAVANIA                  ;3;F;PUR SANG;12;5;5;55990,00;0,00;55990,00;4665,83;590.0;haie
59;FENCES                   ;6;H;CHEVAL AUTRE QUE PUR SANG;6;2;2;55780,00;0,00;55780,00;9296,67;550.0;haie
60;PORTENTOSO               ;6;H;PUR SANG;6;1;4;55065,00;0,00;55065,00;9177,50;560.0;haie
61;GARASIL                  ;8;H;PUR SANG;2;0;2;54300,00;0,00;54300,00;27150,00;690.0;haie
62;HAPPY DE REVE            ;4;H;CHEVAL AUTRE QUE PUR SANG;9;0;9;54150,00;0,00;54150,00;6016,67;620.0;haie
63;GARDEZ LA MONNAIE        ;5;F;CHEVAL AUTRE QUE PUR SANG;5;1;2;53730,00;0,00;53730,00;10746,00;625.0;haie
64;ALTESSE DU BERLAIS       ;3;F;PUR SANG;4;2;2;53700,00;0,00;53700,00;13425,00;665.0;haie
65;JIMMY DE LILLE           ;7;H;PUR SANG;7;1;4;53460,00;0,00;53460,00;7637,14;555.0;haie
66;GET ON TIME              ;6;F;PUR SANG;4;2;1;53280,00;0,00;53280,00;13320,00;610.0;haie
67;TONGUETTED               ;3;H;PUR SANG;4;1;2;53040,00;0,00;53040,00;13260,00;665.0;haie
68;KATRIBU                  ;4;M;PUR SANG;3;2;1;52980,00;0,00;52980,00;17660,00;670.0;haie
69;THELEME                  ;4;H;PUR SANG;2;0;2;52800,00;0,00;52800,00;26400,00;750.0;haie
70;RADIOLOGUE               ;9;H;PUR SANG;4;2;1;51840,00;0,00;51840,00;12960,00;550.0;haie
71;POLLEXFEN                ;5;H;PUR SANG;7;1;4;51595,00;0,00;51595,00;7370,71;605.0;haie
72;WANT OF A NAIL           ;5;F;PUR SANG;4;2;2;51205,00;0,00;51205,00;12801,25;655.0;haie
73;RISKY STAR               ;6;F;PUR SANG;4;1;3;50615,00;0,00;50615,00;12653,75;580.0;haie
74;BERJOU                   ;7;H;PUR SANG;4;1;3;50500,00;0,00;50500,00;12625,00;680.0;haie
75;GOLD ALLEN               ;5;H;PUR SANG;5;1;2;50075,00;0,00;50075,00;10015,00;625.0;haie
76;ZOFFANY BAY              ;7;H;PUR SANG;3;1;1;50000,00;0,00;50000,00;16666,67;635.0;haie
77;FANCYTASTIC              ;6;H;PUR SANG;6;1;5;49925,00;0,00;49925,00;8320,83;640.0;haie
78;KYROV                    ;3;H;PUR SANG;4;3;1;49490,00;0,00;49490,00;12372,50;680.0;haie
79;GRAND DE THAIX           ;5;H;PUR SANG;4;2;2;49080,00;0,00;49080,00;12270,00;630.0;haie
80;AIN'T GOT WINGS          ;3;H;PUR SANG;5;1;3;48705,00;0,00;48705,00;9741,00;640.0;haie
81;HISPANIC MOON            ;4;F;CHEVAL AUTRE QUE PUR SANG;5;2;3;47910,00;0,00;47910,00;9582,00;635.0;haie
82;SUNSEAT                  ;4;H;PUR SANG;3;2;1;47830,00;0,00;47830,00;15943,33;335.0;haie
83;ARAGORN D'ALALIA         ;11;H;ANGLO-ARABE;3;1;2;47550,00;0,00;47550,00;15850,00;630.0;haie
84;GRAND MESSE              ;5;F;PUR SANG;5;1;2;47010,00;0,00;47010,00;9402,00;655.0;haie
85;ZIZANEUR                 ;6;H;PUR SANG;3;1;1;46800,00;0,00;46800,00;15600,00;620.0;haie
86;ZUREKIN                  ;5;H;PUR SANG;4;0;3;46575,00;0,00;46575,00;11643,75;700.0;haie
87;PURPROD BOIZ             ;3;H;PUR SANG;4;2;2;46260,00;0,00;46260,00;11565,00;665.0;haie
88;LE PETIT NICE            ;4;H;PUR SANG;4;1;3;45860,00;0,00;45860,00;11465,00;640.0;haie
89;BONAPARTE SIZING         ;7;H;PUR SANG;3;1;0;45000,00;0,00;45000,00;15000,00;330.0;haie
90;FOREIGN FLOWER           ;8;H;PUR SANG;3;1;1;44780,00;0,00;44780,00;14926,67;570.0;haie
91;THRILLING                ;6;F;PUR SANG;4;2;2;43500,00;0,00;43500,00;10875,00;695.0;haie
92;HENARES                  ;4;F;CHEVAL AUTRE QUE PUR SANG;2;2;0;43240,00;0,00;43240,00;21620,00;;haie
93;TOURMALET                ;5;H;PUR SANG;2;2;0;43200,00;0,00;43200,00;21600,00;615.0;haie
94;LOLLY FLIGHT             ;4;F;PUR SANG;3;1;2;42080,00;0,00;42080,00;14026,67;650.0;haie
95;FOUDRE DELTA             ;6;H;CHEVAL AUTRE QUE PUR SANG;3;0;3;41800,00;0,00;41800,00;13933,33;725.0;haie
96;IT'S EASY                ;3;F;PUR SANG;3;1;2;41685,00;0,00;41685,00;13895,00;680.0;haie
97;OUT OF RISK              ;3;F;PUR SANG;3;1;2;40695,00;0,00;40695,00;13565,00;660.0;haie
98;HACIENDA                 ;4;F;CHEVAL AUTRE QUE PUR SANG;4;1;3;40625,00;0,00;40625,00;10156,25;625.0;haie
99;YOUTWO GLASS             ;4;H;PUR SANG;3;1;2;40540,00;0,00;40540,00;13513,33;675.0;haie
100;BEAUTE PROMISE           ;8;F;PUR SANG;10;0;5;40390,00;0,00;40390,00;4039,00;540.0;haie
101;SIDERALIS                ;3;F;PUR SANG;5;0;4;40370,00;0,00;40370,00;8074,00;660.0;haie
102;YO                       ;10;H;PUR SANG;7;0;6;40350,00;0,00;40350,00;5764,29;520.0;haie
103;RIVER FLIGHT             ;4;M;PUR SANG;3;0;3;40150,00;0,00;40150,00;13383,33;650.0;haie
104;KOTKIWELL                ;4;H;PUR SANG;4;1;3;40120,00;0,00;40120,00;10030,00;635.0;haie
105;HEXTRAWEL DU PORTO       ;4;F;CHEVAL AUTRE QUE PUR SANG;3;1;2;38600,00;0,00;38600,00;12866,67;575.0;haie
106;MOURINHO HAS             ;3;H;PUR SANG;4;1;2;37535,00;0,00;37535,00;9383,75;655.0;haie
107;IDYLLE DU SEUIL          ;3;F;PUR SANG;8;2;3;37480,00;0,00;37480,00;4685,00;585.0;haie
108;HAPPY MONARCH            ;6;H;PUR SANG;4;1;2;37400,00;0,00;37400,00;9350,00;625.0;haie
109;EPIC TALE                ;4;H;PUR SANG;3;0;3;37290,00;0,00;37290,00;12430,00;635.0;haie
110;HERVE DU SEUIL           ;4;H;PUR SANG;5;1;3;37125,00;0,00;37125,00;7425,00;545.0;haie
111;BROTHER BERNARD          ;6;H;PUR SANG;7;2;3;36250,00;0,00;36250,00;5178,57;565.0;haie
112;WEST COAST               ;3;F;PUR SANG;6;2;1;36180,00;0,00;36180,00;6030,00;610.0;haie
113;BALADIN DE MESC          ;4;H;PUR SANG;3;0;3;36140,00;0,00;36140,00;12046,67;650.0;haie
114;NURYADAME                ;4;F;PUR SANG;2;1;1;36110,00;0,00;36110,00;18055,00;620.0;haie
115;GRAIN DE BONHEUR         ;5;H;CHEVAL AUTRE QUE PUR SANG;6;1;3;36030,00;0,00;36030,00;6005,00;540.0;haie
116;TENERIFE SEA             ;7;F;PUR SANG;2;1;0;36000,00;0,00;36000,00;18000,00;660.0;haie
117;GEELONG SPORT            ;5;F;PUR SANG;7;0;5;35980,00;0,00;35980,00;5140,00;585.0;haie
118;VILLA BIANCA             ;3;F;PUR SANG;3;2;1;35930,00;0,00;35930,00;11976,67;650.0;haie
119;HENIWAY                  ;4;F;PUR SANG;4;2;0;35920,00;0,00;35920,00;8980,00;610.0;haie
120;MAMBOSUN                 ;4;H;PUR SANG;4;1;2;35790,00;0,00;35790,00;8947,50;605.0;haie
121;GUMP MADRIK              ;5;F;PUR SANG;7;1;5;35110,00;0,00;35110,00;5015,71;505.0;haie
122;JESUITIQUE               ;6;H;PUR SANG;4;1;3;34500,00;0,00;34500,00;8625,00;550.0;haie
123;HEART WOOD               ;3;H;PUR SANG;4;0;4;34370,00;0,00;34370,00;8592,50;625.0;haie
124;FALKALEO                 ;6;H;PUR SANG;3;0;3;34320,00;0,00;34320,00;11440,00;560.0;haie
125;HAKELA DU SEUIL          ;4;F;PUR SANG;4;1;2;34310,00;0,00;34310,00;8577,50;605.0;haie
126;GRAN DIOSE               ;5;H;PUR SANG;2;1;1;34200,00;0,00;34200,00;17100,00;600.0;haie
127;FLECHE ROUGE             ;5;F;PUR SANG;2;1;1;34200,00;0,00;34200,00;17100,00;615.0;haie
128;CALOTIN                  ;7;H;PUR SANG;3;2;1;34140,00;0,00;34140,00;11380,00;620.0;haie
129;ROYALE MARGAUX           ;3;F;PUR SANG;4;3;0;34080,00;0,00;34080,00;8520,00;670.0;haie
130;CHICHI DE LA VEGA        ;4;H;PUR SANG;4;0;3;34050,00;0,00;34050,00;8512,50;595.0;haie
131;FURIMIX                  ;4;H;PUR SANG;8;2;5;33940,00;0,00;33940,00;4242,50;540.0;haie
132;JE DEVIENS MOI           ;5;H;PUR SANG;3;0;3;33925,00;0,00;33925,00;11308,33;640.0;haie
133;SHENKO MAGIC             ;9;H;PUR SANG;7;2;3;33915,00;0,00;33915,00;4845,00;570.0;haie
134;BETONG EMERY             ;5;H;PUR SANG;5;1;2;33620,00;0,00;33620,00;6724,00;580.0;haie
135;IGLOO D'ESTRUVAL         ;3;H;PUR SANG;4;2;2;33340,00;0,00;33340,00;8335,00;650.0;haie
136;SURPRISING               ;3;H;PUR SANG;5;1;2;33315,00;0,00;33315,00;6663,00;625.0;haie
137;HECREVICE                ;4;H;CHEVAL AUTRE QUE PUR SANG;3;1;2;33135,00;0,00;33135,00;11045,00;590.0;haie
138;PORTO POLLO              ;6;H;PUR SANG;3;0;2;32850,00;0,00;32850,00;10950,00;690.0;haie
139;KENTAWAY                 ;3;H;PUR SANG;7;2;3;32715,00;0,00;32715,00;4673,57;600.0;haie
140;MELCHIEF                 ;9;H;PUR SANG;3;2;0;32640,00;0,00;32640,00;10880,00;630.0;haie
141;MISS FALCON              ;3;F;PUR SANG;5;1;3;32550,00;0,00;32550,00;6510,00;650.0;haie
142;DUC DES GENIEVRES        ;8;H;CHEVAL AUTRE QUE PUR SANG;2;1;1;32400,00;0,00;32400,00;16200,00;660.0;haie
143;ASSAD LAWAL              ;6;H;PUR SANG;13;1;4;31845,00;0,00;31845,00;2449,62;470.0;haie
144;AFFOBURG                 ;7;H;PUR SANG;8;2;5;31770,00;0,00;31770,00;3971,25;590.0;haie
145;PETIT TONNERRE           ;3;H;PUR SANG;2;2;0;31700,00;0,00;31700,00;15850,00;;haie
146;YEIAYEL                  ;5;H;PUR SANG;2;2;0;31680,00;0,00;31680,00;15840,00;640.0;haie
147;SONIGINO                 ;4;H;PUR SANG;2;2;0;31280,00;0,00;31280,00;15640,00;640.0;haie
148;TKLIWY NIHILISTA         ;3;H;PUR SANG;5;0;5;31190,00;0,00;31190,00;6238,00;640.0;haie
149;VALE OF TOF              ;3;H;PUR SANG;8;1;4;31130,00;0,00;31130,00;3891,25;610.0;haie
150;FAVA HAS                 ;8;H;PUR SANG;11;2;6;30905,00;0,00;30905,00;2809,55;540.0;haie
151;CIRANO DE PAIL           ;8;H;PUR SANG;9;0;7;30810,00;0,00;30810,00;3423,33;535.0;haie
152;GALOPIN DES OBEAUX       ;5;H;CHEVAL AUTRE QUE PUR SANG;3;1;2;30790,00;0,00;30790,00;10263,33;545.0;haie
153;SPES MILITURF            ;4;H;PUR SANG;4;4;0;30720,00;0,00;30720,00;7680,00;650.0;haie
154;GUEPARD DU BERLAIS       ;4;H;PUR SANG;5;0;3;30500,00;0,00;30500,00;6100,00;560.0;haie
155;TEXARD                   ;6;H;PUR SANG;3;1;1;30490,00;0,00;30490,00;10163,33;585.0;haie
156;FIX AT ALL               ;5;H;PUR SANG;3;2;0;30240,00;0,00;30240,00;10080,00;620.0;haie
157;ASTADAME                 ;4;F;PUR SANG;2;1;1;30220,00;0,00;30220,00;15110,00;670.0;haie
158;FILUP                    ;6;H;CHEVAL AUTRE QUE PUR SANG;3;0;3;30160,00;0,00;30160,00;10053,33;575.0;haie
159;LASSANA                  ;3;F;PUR SANG;3;1;1;30040,00;0,00;30040,00;10013,33;345.0;haie
160;MCGROARTY                ;10;H;PUR SANG;4;0;3;29980,00;0,00;29980,00;7495,00;600.0;haie
161;FILE AU POTEAU           ;3;H;PUR SANG;3;1;2;29935,00;0,00;29935,00;9978,33;640.0;haie
162;KOLINA HAS               ;4;F;PUR SANG;3;0;3;29845,00;0,00;29845,00;9948,33;610.0;haie
163;GALLEO CONTI             ;5;H;CHEVAL AUTRE QUE PUR SANG;3;1;2;29820,00;0,00;29820,00;9940,00;710.0;haie
164;GAELIK FIRST             ;6;F;PUR SANG;10;0;6;29535,00;0,00;29535,00;2953,50;535.0;haie
165;TOP CRESSELIA            ;3;F;PUR SANG;9;1;5;29520,00;0,00;29520,00;3280,00;570.0;haie
166;MASTER GOLD              ;5;H;PUR SANG;6;1;2;29500,00;0,00;29500,00;4916,67;530.0;haie
167;CANFORD WINE             ;4;H;PUR SANG;10;1;5;29340,00;0,00;29340,00;2934,00;540.0;haie
168;EDITION SPECIALE         ;4;F;PUR SANG;5;2;0;29300,00;0,00;29300,00;5860,00;595.0;haie
169;RHUM BLEU                ;3;H;PUR SANG;6;0;5;29020,00;0,00;29020,00;4836,67;640.0;haie
170;AIMANT                   ;3;H;PUR SANG;1;1;0;28980,00;0,00;28980,00;28980,00;;haie
171;HAWAI DU BERLAIS         ;3;F;PUR SANG;1;1;0;28980,00;0,00;28980,00;28980,00;;haie
172;SOLENZERA SENAM          ;4;F;PUR SANG;2;0;2;28890,00;0,00;28890,00;14445,00;665.0;haie
173;ZADALL                   ;5;H;PUR SANG;7;2;3;28885,00;0,00;28885,00;4126,43;585.0;haie
174;LORASON                  ;3;H;PUR SANG;2;1;1;28835,00;0,00;28835,00;14417,50;;haie
175;CELTIC GIRL              ;4;F;PUR SANG;7;1;4;28780,00;0,00;28780,00;4111,43;540.0;haie
176;SELMA                    ;3;F;PUR SANG;6;0;6;28590,00;0,00;28590,00;4765,00;620.0;haie
177;PRINCE DE BELLOUET       ;9;H;PUR SANG;4;1;2;28395,00;0,00;28395,00;7098,75;610.0;haie
178;BRIC                     ;6;H;PUR SANG;6;0;5;28195,00;0,00;28195,00;4699,17;550.0;haie
179;SAMOZO                   ;3;H;PUR SANG;9;1;6;28090,00;0,00;28090,00;3121,11;575.0;haie
180;ICONE D'OUDAIRIES        ;3;F;CHEVAL AUTRE QUE PUR SANG;3;2;1;28080,00;0,00;28080,00;9360,00;660.0;haie
181;IL RIDOTO                ;4;H;PUR SANG;2;2;0;28060,00;0,00;28060,00;14030,00;640.0;haie
182;APAULSTAR                ;4;H;PUR SANG;2;1;1;28000,00;0,00;28000,00;14000,00;560.0;haie
183;FASHION BAIE             ;6;F;PUR SANG;6;3;3;27890,00;0,00;27890,00;4648,33;540.0;haie
184;GOLDEN YEARS             ;5;H;PUR SANG;4;1;2;27855,00;0,00;27855,00;6963,75;590.0;haie
185;OBEONE                   ;4;F;PUR SANG;2;1;1;27730,00;0,00;27730,00;13865,00;650.0;haie
186;GIBRALFARO               ;3;H;PUR SANG;6;2;1;27620,00;0,00;27620,00;4603,33;670.0;haie
187;GRAND ONCLE              ;5;H;CHEVAL AUTRE QUE PUR SANG;2;0;2;27620,00;0,00;27620,00;13810,00;580.0;haie
188;INIESTA DU GOUET         ;3;H;PUR SANG;3;1;1;27600,00;0,00;27600,00;9200,00;655.0;haie
189;FRET D'ESTRUVAL          ;6;H;CHEVAL AUTRE QUE PUR SANG;2;1;1;27375,00;0,00;27375,00;13687,50;595.0;haie
