;Cheval;Age;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur;spec
1518;JOGO DE LA SERRE         ;3;H;PUR SANG;2;0;2;2420,00;0,00;2420,00;1210,00;;haie
1519;HOPALLA CHOCOLAT         ;4;F;PUR SANG;2;0;2;2415,00;0,00;2415,00;1207,50;535.0;haie
1520;BATURA SAR               ;7;F;PUR SANG;3;0;2;2410,00;0,00;2410,00;803,33;470.0;haie
1521;CARLA DE BEAUCHENE       ;9;F;PUR SANG;2;0;1;2400,00;0,00;2400,00;1200,00;480.0;haie
1522;SPEED OF LOVE            ;5;F;PUR SANG;2;0;1;2400,00;0,00;2400,00;1200,00;490.0;haie
1523;COTE D'ALBATRE           ;4;F;PUR SANG;2;0;1;2400,00;0,00;2400,00;1200,00;520.0;haie
1524;FIREFOX DU PECOS AA      ;4;H;ANGLO-ARABE DE COMPLEMENT;2;0;1;2380,00;0,00;2380,00;1190,00;;haie
1525;IRIS DU SEUIL            ;3;F;PUR SANG;6;0;1;2380,00;0,00;2380,00;396,67;550.0;haie
1526;LIKE A LION              ;3;H;PUR SANG;2;0;1;2380,00;0,00;2380,00;1190,00;300.0;haie
1527;CAPTAIN FALCO            ;3;H;PUR SANG;3;0;1;2375,00;0,00;2375,00;791,67;560.0;haie
1528;GOLDEN TOUCH             ;4;F;PUR SANG;5;0;2;2370,00;0,00;2370,00;474,00;490.0;haie
1529;TIBAJOHA                 ;3;H;PUR SANG;3;0;2;2355,00;0,00;2355,00;785,00;560.0;haie
1530;ADEI BASC                ;4;F;PUR SANG;2;0;1;2340,00;0,00;2340,00;1170,00;510.0;haie
1531;MISS MAIA                ;4;F;PUR SANG;1;0;1;2340,00;0,00;2340,00;2340,00;590.0;haie
1532;FOLIMANKA                ;4;F;PUR SANG;2;0;1;2340,00;0,00;2340,00;1170,00;530.0;haie
1533;ETINCELLE SOUDAINE       ;4;F;PUR SANG;2;0;1;2340,00;0,00;2340,00;1170,00;540.0;haie
1534;SIR KHEVI                ;4;H;PUR SANG;1;0;1;2340,00;0,00;2340,00;2340,00;590.0;haie
1535;HABITANTE                ;4;F;CHEVAL AUTRE QUE PUR SANG;2;0;2;2335,00;0,00;2335,00;1167,50;555.0;haie
1536;HIGH ALERT               ;4;H;PUR SANG;2;0;2;2330,00;0,00;2330,00;1165,00;550.0;haie
1537;UNA GRANDE STORIA        ;4;F;PUR SANG;4;0;2;2310,00;0,00;2310,00;577,50;530.0;haie
1538;LA REYNE MARGOT          ;3;F;PUR SANG;6;0;2;2280,00;0,00;2280,00;380,00;545.0;haie
1539;REDNECK                  ;3;H;PUR SANG;3;0;2;2265,00;0,00;2265,00;755,00;570.0;haie
1540;HEUR DES OBEAUX          ;4;H;PUR SANG;1;0;1;2250,00;0,00;2250,00;2250,00;580.0;haie
1541;CADET VERT               ;3;H;PUR SANG;2;0;1;2250,00;0,00;2250,00;1125,00;;haie
1542;JOLIE MARQUISE           ;4;F;PUR SANG;8;0;3;2250,00;0,00;2250,00;281,25;490.0;haie
1543;IRIS DE GRUGY            ;3;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;2250,00;0,00;2250,00;2250,00;;haie
1544;SHAKHELYA                ;4;F;PUR SANG;2;0;1;2250,00;0,00;2250,00;1125,00;550.0;haie
1545;SOUVERAINE ELUSIVE       ;5;F;PUR SANG;1;0;1;2250,00;0,00;2250,00;2250,00;280.0;haie
1546;CURIEUX                  ;9;H;PUR SANG;1;0;1;2240,00;0,00;2240,00;2240,00;560.0;haie
1547;LAURIFER                 ;4;F;PUR SANG;1;0;1;2240,00;0,00;2240,00;2240,00;510.0;haie
1548;MOON CHILD               ;4;F;PUR SANG;5;0;2;2240,00;0,00;2240,00;448,00;490.0;haie
1549;ICH BIN DA TEK           ;3;H;PUR SANG;2;0;1;2240,00;0,00;2240,00;1120,00;;haie
1550;HERMES BANBOU            ;4;H;CHEVAL AUTRE QUE PUR SANG;2;0;1;2240,00;0,00;2240,00;1120,00;;haie
1551;CLENI NIGHT              ;3;F;PUR SANG;3;0;1;2240,00;0,00;2240,00;746,67;;haie
1552;ZIALIGHT                 ;5;F;PUR SANG;2;0;1;2240,00;0,00;2240,00;1120,00;550.0;haie
1553;HONNEUR AUX FILLES       ;4;F;PUR SANG;2;0;1;2240,00;0,00;2240,00;1120,00;;haie
1554;IDEAL DU SEUIL           ;3;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;2240,00;0,00;2240,00;2240,00;;haie
1555;IFRANE                   ;3;F;CHEVAL AUTRE QUE PUR SANG;3;0;2;2240,00;0,00;2240,00;746,67;545.0;haie
1556;MISS FRAPOLIXA           ;3;F;PUR SANG;2;0;1;2240,00;0,00;2240,00;1120,00;;haie
1557;ROSANDE                  ;5;F;PUR SANG;3;0;1;2240,00;0,00;2240,00;746,67;520.0;haie
1558;CENTAUR DE LA BRUNIE     ;9;H;ANGLO-ARABE;1;0;1;2240,00;0,00;2240,00;2240,00;;haie
1559;COME ON LOTTI            ;4;F;PUR SANG;2;0;1;2240,00;0,00;2240,00;1120,00;200.0;haie
1560;HEIDI STAR               ;4;F;PUR SANG;1;0;1;2240,00;0,00;2240,00;2240,00;545.0;haie
1561;IMUNE DE LA BRUNIE AA    ;3;F;*ANGLO-ARABE COMPLEMENT*;1;0;1;2240,00;0,00;2240,00;2240,00;;haie
1562;ILE AUX PERLES           ;3;F;PUR SANG;1;0;1;2240,00;0,00;2240,00;2240,00;;haie
1563;CHESS MASTER             ;3;H;PUR SANG;3;0;1;2240,00;0,00;2240,00;746,67;570.0;haie
1564;FESTIN COLLONGES         ;6;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;2240,00;0,00;2240,00;2240,00;535.0;haie
1565;INVINCIBLE POWER         ;3;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;2240,00;0,00;2240,00;2240,00;;haie
1566;MINDFUL                  ;3;F;PUR SANG;3;0;2;2220,00;0,00;2220,00;740,00;555.0;haie
1567;NIEL DU DESERT           ;5;H;PUR SANG;1;0;1;2210,00;0,00;2210,00;2210,00;;haie
1568;LANSDOWNE ROAD           ;3;F;PUR SANG;2;0;1;2185,00;0,00;2185,00;1092,50;;haie
1569;SULTAN BLEU              ;5;H;PUR SANG;1;0;1;2185,00;0,00;2185,00;2185,00;;haie
1570;EVERY WHERE              ;7;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;2185,00;0,00;2185,00;2185,00;525.0;haie
1571;HOPPEFULL HAS            ;3;H;PUR SANG;2;0;2;2175,00;0,00;2175,00;1087,50;;haie
1572;HEDESH                   ;4;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;2160,00;0,00;2160,00;2160,00;620.0;haie
1573;DIFFINITO                ;4;H;PUR SANG;2;0;2;2130,00;0,00;2130,00;1065,00;;haie
1574;GINA CONTI               ;5;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;2115,00;0,00;2115,00;2115,00;;haie
1575;MISTER CARA              ;6;H;PUR SANG;2;0;1;2115,00;0,00;2115,00;1057,50;;haie
1576;ICARE CONTI              ;3;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;2115,00;0,00;2115,00;2115,00;;haie
1577;HAWAI TREE               ;4;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;2115,00;0,00;2115,00;2115,00;630.0;haie
1578;GRAVINA                  ;5;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;2115,00;0,00;2115,00;2115,00;540.0;haie
1579;PLEASURE                 ;3;F;PUR SANG;4;0;2;2090,00;0,00;2090,00;522,50;550.0;haie
1580;HONDOLAND                ;4;H;CHEVAL AUTRE QUE PUR SANG;2;0;2;2090,00;0,00;2090,00;1045,00;560.0;haie
1581;SALUT LULU               ;5;H;PUR SANG;5;0;2;2090,00;0,00;2090,00;418,00;480.0;haie
1582;HEKTOR                   ;3;H;PUR SANG;2;0;1;2090,00;0,00;2090,00;1045,00;;haie
1583;LORD SPIRIT              ;5;H;PUR SANG;2;0;2;2070,00;0,00;2070,00;1035,00;250.0;haie
1584;OUT OF THE CLOUDS        ;3;F;PUR SANG;6;0;3;2040,00;0,00;2040,00;340,00;550.0;haie
1585;PRINCE VERT              ;4;H;PUR SANG;4;0;2;2030,00;0,00;2030,00;507,50;550.0;haie
1586;HODOIS HAS               ;5;H;PUR SANG;1;0;1;2025,00;0,00;2025,00;2025,00;615.0;haie
1587;EL MAKEL                 ;7;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;2025,00;0,00;2025,00;2025,00;;haie
1588;NIL DREAM                ;7;H;PUR SANG;2;0;1;2025,00;0,00;2025,00;1012,50;570.0;haie
1589;CALAYAN                  ;9;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;2025,00;0,00;2025,00;2025,00;565.0;haie
1590;KICK UP                  ;5;H;PUR SANG;1;0;1;2025,00;0,00;2025,00;2025,00;630.0;haie
1591;TWO TAFFS                ;11;H;PUR SANG;1;0;1;2025,00;0,00;2025,00;2025,00;605.0;haie
1592;FINES AILES              ;6;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;2025,00;0,00;2025,00;2025,00;560.0;haie
1593;THOR DE CERISY           ;7;H;PUR SANG;1;0;1;2025,00;0,00;2025,00;2025,00;;haie
1594;HERALISTE                ;4;H;CHEVAL AUTRE QUE PUR SANG;2;0;2;2010,00;0,00;2010,00;1005,00;;haie
1595;GONDOR DE KERSER         ;5;H;PUR SANG;2;0;1;1995,00;0,00;1995,00;997,50;580.0;haie
1596;RED ROCKY                ;8;H;PUR SANG;3;0;1;1995,00;0,00;1995,00;665,00;550.0;haie
1597;ILLICO DU QUARTIER       ;3;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;1995,00;0,00;1995,00;1995,00;;haie
1598;GAMBIE TIEP              ;5;H;CHEVAL AUTRE QUE PUR SANG;1;0;1;1995,00;0,00;1995,00;1995,00;;haie
1599;GREATLESS                ;5;F;PUR SANG;2;0;1;1995,00;0,00;1995,00;997,50;555.0;haie
1600;GIZZERIA                 ;5;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;1995,00;0,00;1995,00;1995,00;535.0;haie
1601;SOMOLI                   ;3;F;PUR SANG;1;0;1;1995,00;0,00;1995,00;1995,00;;haie
1602;BELEAVE YOU              ;6;H;PUR SANG;2;0;1;1995,00;0,00;1995,00;997,50;215.0;haie
1603;FEE MANO                 ;6;F;CHEVAL AUTRE QUE PUR SANG;2;0;1;1995,00;0,00;1995,00;997,50;580.0;haie
1604;POLITIKAR                ;9;H;PUR SANG;1;0;1;1995,00;0,00;1995,00;1995,00;620.0;haie
1605;SAINT PARIS              ;3;H;PUR SANG;1;0;1;1995,00;0,00;1995,00;1995,00;;haie
1606;MISS SYMPHONY            ;3;F;PUR SANG;2;0;1;1995,00;0,00;1995,00;997,50;;haie
1607;LE GARLABAN              ;3;H;PUR SANG;1;0;1;1995,00;0,00;1995,00;1995,00;;haie
1608;L'AMOUR A LA PLAGE       ;4;F;PUR SANG;1;0;1;1980,00;0,00;1980,00;1980,00;570.0;haie
1609;CESAR DE BALLON          ;4;H;PUR SANG;1;0;1;1980,00;0,00;1980,00;1980,00;;haie
1610;HOURRA HOURRA            ;4;H;CHEVAL AUTRE QUE PUR SANG;2;0;1;1980,00;0,00;1980,00;990,00;;haie
1611;ALTHOR                   ;6;H;PUR SANG;1;0;1;1980,00;0,00;1980,00;1980,00;550.0;haie
1612;HISTORY DE CHOISEL       ;4;F;PUR SANG;2;0;1;1980,00;0,00;1980,00;990,00;530.0;haie
1613;SATURNE NONANTAIS        ;3;H;PUR SANG;2;0;1;1980,00;0,00;1980,00;990,00;;haie
1614;BATMAN ROYAL             ;4;H;PUR SANG;3;0;3;1970,00;0,00;1970,00;656,67;510.0;haie
1615;N'ATTEND PAS TROP        ;10;H;PUR SANG;1;0;1;1960,00;0,00;1960,00;1960,00;490.0;haie
1616;TEAHUPOO VEGA            ;7;H;PUR SANG;1;0;1;1960,00;0,00;1960,00;1960,00;495.0;haie
1617;LA BARAKAS               ;6;F;PUR SANG;1;0;1;1960,00;0,00;1960,00;1960,00;535.0;haie
1618;DASHING TROIS            ;9;H;PUR SANG;1;0;1;1960,00;0,00;1960,00;1960,00;530.0;haie
1619;GALOUSKA                 ;6;F;PUR SANG;3;0;1;1960,00;0,00;1960,00;653,33;520.0;haie
1620;GREAT MIX                ;5;H;PUR SANG;6;0;1;1960,00;0,00;1960,00;326,67;485.0;haie
1621;AMOUR DU PUY NOIR        ;12;H;PUR SANG;1;0;1;1960,00;0,00;1960,00;1960,00;525.0;haie
1622;VAL DE MARE              ;4;H;PUR SANG;1;0;1;1960,00;0,00;1960,00;1960,00;540.0;haie
1623;LA GRAND PLACE           ;4;F;PUR SANG;4;0;3;1955,00;0,00;1955,00;488,75;510.0;haie
1624;HOLLA CONTI              ;4;F;PUR SANG;1;0;1;1950,00;0,00;1950,00;1950,00;;haie
1625;IMAGE DE SIVOLA          ;3;F;CHEVAL AUTRE QUE PUR SANG;2;0;2;1940,00;0,00;1940,00;970,00;;haie
1626;LATINA                   ;5;F;PUR SANG;5;0;3;1935,00;0,00;1935,00;387,00;495.0;haie
1627;KAPRAD                   ;6;F;PUR SANG;4;0;2;1935,00;0,00;1935,00;483,75;490.0;haie
1628;CENT DE VERGNE AA        ;3;H;*ANGLO-ARABE COMPLEMENT*;1;0;1;1900,00;0,00;1900,00;1900,00;;haie
1629;SUR LE ROQUES            ;4;H;PUR SANG;2;0;1;1890,00;0,00;1890,00;945,00;530.0;haie
1630;OSTRAVA DU BERLAIS       ;3;F;PUR SANG;1;0;1;1890,00;0,00;1890,00;1890,00;;haie
1631;HORYA                    ;4;H;CHEVAL AUTRE QUE PUR SANG;3;0;1;1890,00;0,00;1890,00;630,00;;haie
1632;KING WOOTY               ;4;H;PUR SANG;3;0;2;1860,00;0,00;1860,00;620,00;510.0;haie
1633;MARIE COASTALA           ;3;F;PUR SANG;1;0;1;1820,00;0,00;1820,00;1820,00;;haie
1634;VERISCABELLA             ;4;F;PUR SANG;4;0;1;1820,00;0,00;1820,00;455,00;525.0;haie
1635;FHILIRELLE               ;6;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;1820,00;0,00;1820,00;1820,00;505.0;haie
1636;HARMONIE DE MAI          ;4;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;1820,00;0,00;1820,00;1820,00;;haie
1637;SAINT DU BRIZAIS         ;4;H;PUR SANG;3;0;1;1820,00;0,00;1820,00;606,67;520.0;haie
1638;HESPERIDE EMERY          ;4;F;CHEVAL AUTRE QUE PUR SANG;1;0;1;1820,00;0,00;1820,00;1820,00;;haie
1639;MISS KALISTA             ;6;F;PUR SANG;3;0;1;1820,00;0,00;1820,00;606,67;490.0;haie
1640;HACKER LORD              ;4;H;PUR SANG;5;0;2;1820,00;0,00;1820,00;364,00;490.0;haie
1641;DOCTOR FONTENAILLE       ;8;H;PUR SANG;3;0;1;1820,00;0,00;1820,00;606,67;515.0;haie
1642;PRINCE MAD               ;4;H;PUR SANG;3;0;1;1820,00;0,00;1820,00;606,67;260.0;haie
1643;BEBE SPEED               ;4;H;PUR SANG;3;0;1;1820,00;0,00;1820,00;606,67;520.0;haie
1644;LE MANOIR                ;5;H;PUR SANG;4;0;1;1820,00;0,00;1820,00;455,00;490.0;haie
1645;ORFALU                   ;4;H;PUR SANG;1;0;1;1820,00;0,00;1820,00;1820,00;;haie
1646;LORDDELOUEST             ;3;H;PUR SANG;3;0;2;1820,00;0,00;1820,00;606,67;565.0;haie
1647;WONDERZAIN               ;3;H;PUR SANG;2;0;1;1820,00;0,00;1820,00;910,00;;haie
1648;STORM FULL               ;3;H;PUR SANG;2;0;1;1820,00;0,00;1820,00;910,00;;haie
1649;KELKLAS                  ;3;F;PUR SANG;2;0;1;1805,00;0,00;1805,00;902,50;;haie
1650;IRIS DU GOUET            ;3;F;CHEVAL AUTRE QUE PUR SANG;2;0;1;1805,00;0,00;1805,00;902,50;;haie
1651;SILVER POMM              ;3;F;PUR SANG;1;0;1;1805,00;0,00;1805,00;1805,00;;haie
1652;GRIOTTE DES CHAMPS       ;5;F;PUR SANG;1;0;1;1805,00;0,00;1805,00;1805,00;540.0;haie
1653;WONDER WOMAN             ;3;F;PUR SANG;1;0;1;1805,00;0,00;1805,00;1805,00;;haie
1654;J'VA YALE                ;9;H;PUR SANG;1;0;1;1805,00;0,00;1805,00;1805,00;465.0;haie
1655;INDEPENDENCIA            ;3;F;CHEVAL AUTRE QUE PUR SANG;2;0;1;1800,00;0,00;1800,00;900,00;;haie
1656;MOON DREAM               ;4;H;PUR SANG;2;0;1;1800,00;0,00;1800,00;900,00;360.0;haie
1657;TARLITA                  ;4;F;PUR SANG;3;0;1;1800,00;0,00;1800,00;600,00;520.0;haie
1658;ZOTOPI                   ;4;F;PUR SANG;1;0;1;1800,00;0,00;1800,00;1800,00;;haie
1659;XAAROS                   ;4;H;PUR SANG;2;0;1;1800,00;0,00;1800,00;900,00;420.0;haie
1660;LORD OF WORLD            ;4;H;PUR SANG;2;0;1;1800,00;0,00;1800,00;900,00;585.0;haie
1661;LUCKY DOE                ;5;F;PUR SANG;6;0;2;1800,00;0,00;1800,00;300,00;490.0;haie
1662;SPIRIT OF THE MOON       ;3;H;PUR SANG;2;0;1;1800,00;0,00;1800,00;900,00;320.0;haie
1663;CORSICO BELLO            ;4;H;PUR SANG;3;0;1;1800,00;0,00;1800,00;600,00;500.0;haie
1664;FAHAWRO                  ;6;H;PUR SANG;3;0;2;1800,00;0,00;1800,00;600,00;510.0;haie
1665;LORD SILVERADO           ;5;H;PUR SANG;2;0;2;1775,00;0,00;1775,00;887,50;;haie
1666;HUPECA DE THAIX          ;4;H;CHEVAL AUTRE QUE PUR SANG;2;0;2;1775,00;0,00;1775,00;887,50;520.0;haie
1667;HAIKO                    ;4;H;CHEVAL AUTRE QUE PUR SANG;3;0;2;1740,00;0,00;1740,00;580,00;525.0;haie
1668;HO LA LA FOREZ           ;4;H;CHEVAL AUTRE QUE PUR SANG;3;0;2;1725,00;0,00;1725,00;575,00;;haie
1669;TITANE DES CHAMPS        ;4;F;PUR SANG;2;0;1;1710,00;0,00;1710,00;855,00;;haie
1670;TORQUATOR TASSO          ;4;M;PUR SANG;1;1;0;2857000,00;0,00;2857000,00;2857000,00;565.0;plat
1671;ST MARK'S BASILICA       ;3;M;PUR SANG;2;2;0;1199940,00;0,00;1199940,00;599970,00;545.0;plat
1672;TARNAWA                  ;5;F;PUR SANG;1;0;1;1143000,00;0,00;1143000,00;1143000,00;545.0;plat
1673;HURRICANE LANE           ;3;M;PUR SANG;2;1;1;914340,00;0,00;914340,00;457170,00;555.0;plat
1674;JOAN OF ARC              ;3;F;PUR SANG;3;1;0;571400,00;0,00;571400,00;190466,67;505.0;plat
1675;PALACE PIER              ;4;M;PUR SANG;1;1;0;571400,00;0,00;571400,00;571400,00;565.0;plat
1676;SEALIWAY                 ;3;M;PUR SANG;4;0;3;501900,00;85792,00;587692,00;125475,00;530.0;plat
1677;ROUGIR                   ;3;F;PUR SANG;7;1;4;361080,00;90582,00;451662,00;51582,86;535.0;plat
1678;MARIANAFOOT              ;6;M;PUR SANG;7;7;0;358132,00;93269,00;451401,00;51161,71;530.0;plat
1679;TEONA                    ;3;F;PUR SANG;1;1;0;342840,00;0,00;342840,00;342840,00;515.0;plat
1680;DUBAI HONOUR             ;3;H;PUR SANG;2;2;0;342000,00;0,00;342000,00;171000,00;520.0;plat
1681;GRAND GLORY              ;5;F;PUR SANG;6;2;3;325150,00;85398,00;410548,00;54191,67;530.0;plat
1682;ZELLIE                   ;2;F;PUR SANG;6;4;2;321060,00;109701,00;430761,00;53510,00;510.0;plat
1683;COEURSAMBA               ;3;F;PUR SANG;5;1;1;290600,00;66928,00;357528,00;58120,00;500.0;plat
1684;MOTHER EARTH             ;3;F;PUR SANG;2;1;1;285720,00;0,00;285720,00;142860,00;515.0;plat
1685;ADAYAR                   ;3;M;PUR SANG;1;0;1;285500,00;0,00;285500,00;285500,00;575.0;plat
1686;PHILOMENE                ;3;F;PUR SANG;5;1;2;282600,00;80595,00;363195,00;56520,00;500.0;plat
1687;SKALLETI                 ;6;H;PUR SANG;4;3;1;266050,00;70948,00;336998,00;66512,50;540.0;plat
1688;BROOME                   ;5;M;PUR SANG;3;1;1;257160,00;0,00;257160,00;85720,00;525.0;plat
1689;BAAEED                   ;3;M;PUR SANG;1;1;0;257130,00;0,00;257130,00;257130,00;550.0;plat
1690;SKAZINO                  ;5;H;PUR SANG;8;3;5;244650,00;95998,00;340648,00;30581,25;510.0;plat
1691;PRETTY TIGER             ;3;M;PUR SANG;8;4;3;239150,00;129141,00;368291,00;29893,75;505.0;plat
1692;POETIC FLARE             ;3;M;PUR SANG;2;0;1;228600,00;0,00;228600,00;114300,00;555.0;plat
1693;ANGEL BLEU               ;2;M;PUR SANG;1;1;0;228560,00;51426,00;279986,00;228560,00;490.0;plat
1694;LAWS OF INDICES          ;3;M;PUR SANG;2;1;0;228560,00;0,00;228560,00;114280,00;520.0;plat
1695;ORDER OF AUSTRALIA       ;4;M;PUR SANG;2;0;2;217170,00;0,00;217170,00;108585,00;535.0;plat
1696;BURGARITA                ;3;F;PUR SANG;6;2;3;205560,00;0,00;205560,00;34260,00;500.0;plat
1697;EBAIYRA                  ;4;F;PUR SANG;4;2;1;205540,00;0,00;205540,00;51385,00;505.0;plat
1698;MARE AUSTRALIS           ;4;M;PUR SANG;2;1;1;200020,00;0,00;200020,00;100010,00;540.0;plat
1699;PERFECT POWER            ;2;M;PUR SANG;1;1;0;199990,00;0,00;199990,00;199990,00;490.0;plat
1700;SPACE BLUES              ;5;M;PUR SANG;1;1;0;199990,00;0,00;199990,00;199990,00;530.0;plat
1701;A CASE OF YOU            ;3;M;PUR SANG;1;1;0;199990,00;0,00;199990,00;199990,00;510.0;plat
1702;INCARVILLE               ;3;F;PUR SANG;7;1;4;196560,00;55739,00;252299,00;28080,00;480.0;plat
1703;MILLEBOSC                ;3;M;PUR SANG;4;0;3;194100,00;50807,00;244907,00;48525,00;520.0;plat
1704;SAGAMIYRA                ;4;F;PUR SANG;6;3;3;183590,00;60207,00;243797,00;30598,33;505.0;plat
1705;BUBBLE GIFT              ;3;M;PUR SANG;7;3;2;183100,00;98874,00;281974,00;26157,14;525.0;plat
1706;SAIYDABAD                ;3;M;PUR SANG;7;4;1;180650,00;0,00;180650,00;25807,14;500.0;plat
1707;PURPLEPAY                ;2;F;PUR SANG;7;3;4;175730,00;22509,00;198239,00;25104,29;445.0;plat
1708;TRUESHAN                 ;5;H;PUR SANG;1;1;0;171420,00;38569,00;209989,00;171420,00;535.0;plat
1709;LOVING DREAM             ;3;F;PUR SANG;1;1;0;171420,00;0,00;171420,00;171420,00;500.0;plat
1710;COLOSSEO                 ;3;M;PUR SANG;6;0;5;158620,00;0,00;158620,00;26436,67;490.0;plat
1711;GLYCON                   ;5;H;PUR SANG;4;2;0;154000,00;62370,00;216370,00;38500,00;495.0;plat
1712;DUHAIL                   ;5;H;PUR SANG;7;2;4;153100,00;0,00;153100,00;21871,43;505.0;plat
1713;VALIA                    ;4;F;PUR SANG;4;1;3;150640,00;54836,00;205476,00;37660,00;485.0;plat
1714;ACCAKABA                 ;2;F;PUR SANG;5;4;1;149440,00;84897,00;234337,00;29888,00;490.0;plat
1715;IN SWOOP                 ;4;M;PUR SANG;4;2;2;147340,00;0,00;147340,00;36835,00;520.0;plat
1716;MANOBO                   ;3;H;PUR SANG;2;2;0;141500,00;0,00;141500,00;70750,00;510.0;plat
1717;WALLY                    ;4;H;PUR SANG;7;4;2;138825,00;53653,00;192478,00;19832,14;515.0;plat
1718;BABY RIDER               ;3;M;PUR SANG;6;2;2;137360,00;68769,00;206129,00;22893,33;490.0;plat
1719;WORDSWORTH               ;3;M;PUR SANG;1;0;1;137160,00;0,00;137160,00;137160,00;495.0;plat
1720;SNOWFALL                 ;3;F;PUR SANG;2;0;1;137160,00;0,00;137160,00;68580,00;545.0;plat
1721;MALAVATH                 ;2;F;PUR SANG;4;2;2;131250,00;0,00;131250,00;32812,50;485.0;plat
1722;TIMES SQUARE             ;2;F;PUR SANG;4;1;3;130900,00;33148,00;164048,00;32725,00;500.0;plat
1723;MONTY                    ;6;H;PUR SANG;7;3;4;129780,00;39338,00;169118,00;18540,00;495.0;plat
1724;BUBBLE SMART             ;4;F;PUR SANG;7;3;3;129540,00;0,00;129540,00;18505,71;505.0;plat
1725;RAABIHAH                 ;4;F;PUR SANG;5;1;3;129100,00;0,00;129100,00;25820,00;500.0;plat
1726;SIBILA SPAIN             ;3;F;PUR SANG;6;3;2;127375,00;0,00;127375,00;21229,17;495.0;plat
1727;ANCIENT ROME             ;2;M;PUR SANG;5;3;2;121620,00;0,00;121620,00;24324,00;505.0;plat
1728;AIR DE VALSE             ;5;F;PUR SANG;9;0;8;120510,00;34161,00;154671,00;13390,00;495.0;plat
1729;SUBLIMIS                 ;5;H;PUR SANG;7;2;5;119800,00;0,00;119800,00;17114,29;490.0;plat
1730;TAHLIE                   ;3;F;PUR SANG;4;3;0;119100,00;64314,00;183414,00;29775,00;505.0;plat
1731;THE GOOD MAN             ;4;M;PUR SANG;6;2;4;118900,00;48154,00;167054,00;19816,67;490.0;plat
1732;GOLD TRIP                ;4;M;PUR SANG;3;0;3;118850,00;27559,00;146409,00;39616,67;520.0;plat
1733;MIDTOWN                  ;3;M;PUR SANG;3;1;2;118320,00;0,00;118320,00;39440,00;525.0;plat
1734;HAVE A GOOD DAY          ;2;F;PUR SANG;7;3;3;116930,00;0,00;116930,00;16704,29;480.0;plat
1735;RUMI                     ;3;F;PUR SANG;5;2;1;116900,00;63126,00;180026,00;23380,00;495.0;plat
1736;ATOMIC FORCE             ;2;H;PUR SANG;2;2;0;114100,00;0,00;114100,00;57050,00;505.0;plat
1737;REAL WORLD               ;4;M;PUR SANG;1;1;0;114000,00;0,00;114000,00;114000,00;525.0;plat
1738;BERNEUIL                 ;4;H;PUR SANG;7;2;4;112920,00;45732,00;158652,00;16131,43;500.0;plat
1739;VICTOR LUDORUM           ;4;M;PUR SANG;6;1;3;112235,00;0,00;112235,00;18705,83;530.0;plat
1740;IRESINE                  ;4;H;PUR SANG;6;4;2;111650,00;45218,00;156868,00;18608,33;505.0;plat
1741;MAGNY COURS              ;6;H;PUR SANG;6;2;3;111400,00;0,00;111400,00;18566,67;500.0;plat
1742;TRIDENT                  ;2;M;PUR SANG;3;1;2;105510,00;34067,00;139577,00;35170,00;505.0;plat
1743;TROPBEAU                 ;4;F;PUR SANG;7;0;4;100468,00;0,00;100468,00;14352,57;500.0;plat
1744;PENJA                    ;3;F;PUR SANG;5;3;1;100100,00;54054,00;154154,00;20020,00;490.0;plat
1745;OSCULA                   ;2;F;PUR SANG;3;1;2;99370,00;0,00;99370,00;33123,33;475.0;plat
1746;BREIZH EAGLE             ;3;M;PUR SANG;5;2;1;98080,00;31360,00;129440,00;19616,00;490.0;plat
1747;CIRONA                   ;3;F;PUR SANG;3;1;1;97150,00;34458,00;131608,00;32383,33;490.0;plat
1748;GREGOLIMO                ;3;M;PUR SANG;6;2;4;95280,00;51451,00;146731,00;15880,00;475.0;plat
1749;ERASMO                   ;3;M;PUR SANG;7;2;2;94500,00;0,00;94500,00;13500,00;475.0;plat
1750;NOW WE KNOW              ;4;H;PUR SANG;7;1;6;94300,00;38189,00;132489,00;13471,43;455.0;plat
1751;CAPRICE DES DIEUX        ;3;H;PUR SANG;6;4;1;94100,00;45684,00;139784,00;15683,33;495.0;plat
1752;CHESHIRE ACADEMY         ;3;M;PUR SANG;4;2;1;93900,00;37192,00;131092,00;23475,00;490.0;plat
