Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"GOLDEN DAWN              ";4;F;"PUR SANG";4;1;1;7200,00;0,00;7200,00;1800,00;520
"FOLK DU PECOS AA         ";7;H;ANGLO-ARABE;1;0;1;7200,00;0,00;7200,00;7200,00;535
"BELLA SCINTILLA          ";3;F;"PUR SANG";1;0;1;7200,00;0,00;7200,00;7200,00;645
"GALIEN DE LAGARDE AA     ";5;H;"ANGLO-ARABE DE COMPLEMENT";1;0;1;7200,00;0,00;7200,00;7200,00;
"LES ELFES                ";6;F;"PUR SANG";3;1;1;7185,00;0,00;7185,00;2395,00;560
"LILIBELL BEY             ";9;F;"PUR SANG";3;0;3;7180,00;0,00;7180,00;2393,33;
"AURORE VERTE             ";3;F;"PUR SANG";1;0;1;7150,00;0,00;7150,00;7150,00;600
"QUART DE GARDE           ";6;H;"PUR SANG";6;0;4;7145,00;0,00;7145,00;1190,83;510
"ALEX DU PIN              ";4;H;"PUR SANG";3;0;3;7110,00;0,00;7110,00;2370,00;570
"QUART DE COING           ";7;H;"PUR SANG";4;0;3;7080,00;0,00;7080,00;1770,00;500
"FAIRY OF LIGHT           ";4;F;"PUR SANG";4;0;4;7060,00;0,00;7060,00;1765,00;510
"GRAFFPINK DE KERZA       ";5;F;"CHEVAL AUTRE QUE PUR SANG";3;1;1;7050,00;0,00;7050,00;2350,00;535
"BABY TURF                ";6;F;"PUR SANG";5;1;2;7045,00;0,00;7045,00;1409,00;520
"ELARIAC DE LOUED         ";7;H;"CHEVAL AUTRE QUE PUR SANG";4;0;2;7035,00;0,00;7035,00;1758,75;
"SOLDIER'S QUEEN          ";8;H;"PUR SANG";3;0;2;7025,00;0,00;7025,00;2341,67;550
"ARDCROSS                 ";7;H;"PUR SANG";3;0;3;7005,00;0,00;7005,00;2335,00;535
"MEREDITH                 ";6;F;"PUR SANG";1;0;1;7000,00;0,00;7000,00;7000,00;630
"MONFLEUR DU LIA          ";10;H;"*ANGLO-ARABE COMPLEMENT*";2;0;2;7000,00;0,00;7000,00;3500,00;535
"GALA DES MOTTES          ";5;F;"CHEVAL AUTRE QUE PUR SANG";4;0;3;6995,00;0,00;6995,00;1748,75;530
"EXTREME                  ";7;F;"CHEVAL AUTRE QUE PUR SANG";3;0;3;6935,00;0,00;6935,00;2311,67;520
"PREMIERE TENTATIVE       ";5;F;"PUR SANG";3;0;3;6930,00;0,00;6930,00;2310,00;555
"ERIK LE VIKING           ";4;H;"PUR SANG";2;0;2;6920,00;0,00;6920,00;3460,00;530
"LA PANTHERE GRISE        ";4;F;"PUR SANG";7;1;1;6900,00;0,00;6900,00;985,71;490
"GENGIS KHEL              ";5;H;"CHEVAL AUTRE QUE PUR SANG";4;0;2;6900,00;0,00;6900,00;1725,00;530
"HELLO DE SIVOLA          ";4;F;"PUR SANG";3;0;3;6900,00;0,00;6900,00;2300,00;520
"KERCHOP                  ";6;H;"PUR SANG";4;0;3;6880,00;0,00;6880,00;1720,00;
"FIGUE                    ";6;F;"CHEVAL AUTRE QUE PUR SANG";2;0;2;6860,00;0,00;6860,00;3430,00;
"CAPTAIN SPEAKING         ";6;H;"PUR SANG";3;0;2;6860,00;0,00;6860,00;2286,67;540
"FRENCH BIRD              ";6;F;"CHEVAL AUTRE QUE PUR SANG";2;0;2;6860,00;0,00;6860,00;3430,00;580
"BRAMINETTE               ";4;F;"PUR SANG";3;1;1;6825,00;0,00;6825,00;2275,00;570
"BEAUTY DU BREUIL         ";10;F;"CHEVAL AUTRE QUE PUR SANG";3;1;1;6825,00;0,00;6825,00;2275,00;
"DARK WOOD                ";8;H;"CHEVAL AUTRE QUE PUR SANG";3;1;1;6825,00;0,00;6825,00;2275,00;
"SIMBOLIC                 ";6;F;"PUR SANG";5;0;4;6825,00;0,00;6825,00;1365,00;480
