Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"JARRY WELLS              ";4;H;"PUR SANG";8;0;7;25190,00;0,00;25190,00;3148,75;550
"MASTER BLAZE             ";3;H;"PUR SANG";6;1;5;25135,00;0,00;25135,00;4189,17;600
"DANIAR                   ";4;H;"PUR SANG";8;2;5;25120,00;0,00;25120,00;3140,00;555
"SPES ENERGICALL          ";4;F;"PUR SANG";6;3;2;25080,00;0,00;25080,00;4180,00;580
"GREAT DU LARGE           ";5;H;"PUR SANG";3;1;2;25080,00;0,00;25080,00;8360,00;570
"ROBERTA HAS              ";4;F;"PUR SANG";2;1;1;25070,00;0,00;25070,00;12535,00;640
"THE PAINTER              ";5;H;"PUR SANG";6;3;2;25025,00;0,00;25025,00;4170,83;545
"BELASKA                  ";4;F;"PUR SANG";6;4;1;25020,00;0,00;25020,00;4170,00;550
"ORIALKI                  ";8;F;"PUR SANG";7;3;3;24960,00;0,00;24960,00;3565,71;525
"FAUTINETTE               ";3;F;"PUR SANG";3;3;0;24960,00;0,00;24960,00;8320,00;670
"PORTICELLO               ";3;H;"PUR SANG";1;1;0;24960,00;0,00;24960,00;24960,00;
"THE GREY LADY            ";3;F;"PUR SANG";1;1;0;24960,00;0,00;24960,00;24960,00;
"PRINCE DE LA BARRE       ";9;H;"PUR SANG";14;2;6;24925,00;0,00;24925,00;1780,36;485
"DALYOTIN                 ";5;H;"PUR SANG";6;0;4;24920,00;0,00;24920,00;4153,33;580
"GO'N WIN                 ";7;F;"PUR SANG";8;2;4;24885,00;0,00;24885,00;3110,63;
"BINGO DE L'AUNAY         ";6;H;"PUR SANG";9;2;4;24870,00;0,00;24870,00;2763,33;540
"SAINT LANGIS             ";3;H;"PUR SANG";1;1;0;24840,00;0,00;24840,00;24840,00;
"VAE PATRON               ";3;H;"PUR SANG";1;1;0;24840,00;0,00;24840,00;24840,00;340
"ONE MORE LIGHT           ";3;F;"PUR SANG";1;1;0;24840,00;0,00;24840,00;24840,00;335
"CIEL DIVIN               ";6;H;"PUR SANG";6;2;2;24820,00;0,00;24820,00;4136,67;550
"FANTASTIC SIVOLA         ";6;H;"PUR SANG";3;1;2;24805,00;0,00;24805,00;8268,33;670
"GRAFITY BAIE             ";5;H;"CHEVAL AUTRE QUE PUR SANG";5;3;1;24720,00;0,00;24720,00;4944,00;585
"HUERTA                   ";4;F;"CHEVAL AUTRE QUE PUR SANG";3;1;1;24700,00;0,00;24700,00;8233,33;590
"CRYSKING                 ";8;H;"PUR SANG";8;2;5;24690,00;0,00;24690,00;3086,25;525
"SAURA                    ";4;F;"PUR SANG";7;1;3;24650,00;0,00;24650,00;3521,43;555
"UNBRIN DE L'ISLE         ";13;H;"CHEVAL AUTRE QUE PUR SANG";8;1;4;24640,00;0,00;24640,00;3080,00;
