Cheval;Âge;Sexe;Race;Courses;Victoires;Places;"Allocation tot.";"Prime Prop.";"Alloc. + Prime Prop.";"Gain moyen";Valeur
"CORAZONES                ";9;H;"CHEVAL AUTRE QUE PUR SANG";5;1;4;57500,00;0,00;57500,00;11500,00;645
"PACHA SENAM              ";5;H;"PUR SANG";4;1;3;57380,00;0,00;57380,00;14345,00;630
"RAFFLES SAINTE           ";5;F;"PUR SANG";4;0;4;57150,00;0,00;57150,00;14287,50;630
"MAGISTADOR               ";9;H;"PUR SANG";4;0;3;57000,00;0,00;57000,00;14250,00;630
"MONTY SAGA               ";5;H;"PUR SANG";7;2;3;56985,00;0,00;56985,00;8140,71;590
"GARO DE JUILLEY          ";9;H;"PUR SANG";6;1;3;56750,00;0,00;56750,00;9458,33;655
"INSIDE MONTLIOUX         ";4;H;"PUR SANG";4;2;0;56040,00;0,00;56040,00;14010,00;600
"HAVANIA                  ";3;F;"PUR SANG";12;5;5;55990,00;0,00;55990,00;4665,83;590
"FENCES                   ";6;H;"CHEVAL AUTRE QUE PUR SANG";6;2;2;55780,00;0,00;55780,00;9296,67;550
"PORTENTOSO               ";6;H;"PUR SANG";6;1;4;55065,00;0,00;55065,00;9177,50;560
"GARASIL                  ";8;H;"PUR SANG";2;0;2;54300,00;0,00;54300,00;27150,00;690
"HAPPY DE REVE            ";4;H;"CHEVAL AUTRE QUE PUR SANG";9;0;9;54150,00;0,00;54150,00;6016,67;620
"GARDEZ LA MONNAIE        ";5;F;"CHEVAL AUTRE QUE PUR SANG";5;1;2;53730,00;0,00;53730,00;10746,00;625
"ALTESSE DU BERLAIS       ";3;F;"PUR SANG";4;2;2;53700,00;0,00;53700,00;13425,00;665
"JIMMY DE LILLE           ";7;H;"PUR SANG";7;1;4;53460,00;0,00;53460,00;7637,14;555
"GET ON TIME              ";6;F;"PUR SANG";4;2;1;53280,00;0,00;53280,00;13320,00;610
"TONGUETTED               ";3;H;"PUR SANG";4;1;2;53040,00;0,00;53040,00;13260,00;665
"KATRIBU                  ";4;M;"PUR SANG";3;2;1;52980,00;0,00;52980,00;17660,00;670
"THELEME                  ";4;H;"PUR SANG";2;0;2;52800,00;0,00;52800,00;26400,00;750
"RADIOLOGUE               ";9;H;"PUR SANG";4;2;1;51840,00;0,00;51840,00;12960,00;550
"POLLEXFEN                ";5;H;"PUR SANG";7;1;4;51595,00;0,00;51595,00;7370,71;605
"WANT OF A NAIL           ";5;F;"PUR SANG";4;2;2;51205,00;0,00;51205,00;12801,25;655
"RISKY STAR               ";6;F;"PUR SANG";4;1;3;50615,00;0,00;50615,00;12653,75;580
"BERJOU                   ";7;H;"PUR SANG";4;1;3;50500,00;0,00;50500,00;12625,00;680
"GOLD ALLEN               ";5;H;"PUR SANG";5;1;2;50075,00;0,00;50075,00;10015,00;625
"ZOFFANY BAY              ";7;H;"PUR SANG";3;1;1;50000,00;0,00;50000,00;16666,67;635
"FANCYTASTIC              ";6;H;"PUR SANG";6;1;5;49925,00;0,00;49925,00;8320,83;640
"KYROV                    ";3;H;"PUR SANG";4;3;1;49490,00;0,00;49490,00;12372,50;680
"GRAND DE THAIX           ";5;H;"PUR SANG";4;2;2;49080,00;0,00;49080,00;12270,00;630
"AIN'T GOT WINGS          ";3;H;"PUR SANG";5;1;3;48705,00;0,00;48705,00;9741,00;640
"HISPANIC MOON            ";4;F;"CHEVAL AUTRE QUE PUR SANG";5;2;3;47910,00;0,00;47910,00;9582,00;635
"SUNSEAT                  ";4;H;"PUR SANG";3;2;1;47830,00;0,00;47830,00;15943,33;335
"ARAGORN D'ALALIA         ";11;H;ANGLO-ARABE;3;1;2;47550,00;0,00;47550,00;15850,00;630
"GRAND MESSE              ";5;F;"PUR SANG";5;1;2;47010,00;0,00;47010,00;9402,00;655
"ZIZANEUR                 ";6;H;"PUR SANG";3;1;1;46800,00;0,00;46800,00;15600,00;620
"ZUREKIN                  ";5;H;"PUR SANG";4;0;3;46575,00;0,00;46575,00;11643,75;700
"PURPROD BOIZ             ";3;H;"PUR SANG";4;2;2;46260,00;0,00;46260,00;11565,00;665
"LE PETIT NICE            ";4;H;"PUR SANG";4;1;3;45860,00;0,00;45860,00;11465,00;640
"BONAPARTE SIZING         ";7;H;"PUR SANG";3;1;0;45000,00;0,00;45000,00;15000,00;330
"FOREIGN FLOWER           ";8;H;"PUR SANG";3;1;1;44780,00;0,00;44780,00;14926,67;570
"THRILLING                ";6;F;"PUR SANG";4;2;2;43500,00;0,00;43500,00;10875,00;695
"HENARES                  ";4;F;"CHEVAL AUTRE QUE PUR SANG";2;2;0;43240,00;0,00;43240,00;21620,00;
"TOURMALET                ";5;H;"PUR SANG";2;2;0;43200,00;0,00;43200,00;21600,00;615
"LOLLY FLIGHT             ";4;F;"PUR SANG";3;1;2;42080,00;0,00;42080,00;14026,67;650
"FOUDRE DELTA             ";6;H;"CHEVAL AUTRE QUE PUR SANG";3;0;3;41800,00;0,00;41800,00;13933,33;725
"IT'S EASY                ";3;F;"PUR SANG";3;1;2;41685,00;0,00;41685,00;13895,00;680
"OUT OF RISK              ";3;F;"PUR SANG";3;1;2;40695,00;0,00;40695,00;13565,00;660
"HACIENDA                 ";4;F;"CHEVAL AUTRE QUE PUR SANG";4;1;3;40625,00;0,00;40625,00;10156,25;625
"YOUTWO GLASS             ";4;H;"PUR SANG";3;1;2;40540,00;0,00;40540,00;13513,33;675
"BEAUTE PROMISE           ";8;F;"PUR SANG";10;0;5;40390,00;0,00;40390,00;4039,00;540
"SIDERALIS                ";3;F;"PUR SANG";5;0;4;40370,00;0,00;40370,00;8074,00;660
"YO                       ";10;H;"PUR SANG";7;0;6;40350,00;0,00;40350,00;5764,29;520
"RIVER FLIGHT             ";4;M;"PUR SANG";3;0;3;40150,00;0,00;40150,00;13383,33;650
"KOTKIWELL                ";4;H;"PUR SANG";4;1;3;40120,00;0,00;40120,00;10030,00;635
"HEXTRAWEL DU PORTO       ";4;F;"CHEVAL AUTRE QUE PUR SANG";3;1;2;38600,00;0,00;38600,00;12866,67;575
"MOURINHO HAS             ";3;H;"PUR SANG";4;1;2;37535,00;0,00;37535,00;9383,75;655
"IDYLLE DU SEUIL          ";3;F;"PUR SANG";8;2;3;37480,00;0,00;37480,00;4685,00;585
"HAPPY MONARCH            ";6;H;"PUR SANG";4;1;2;37400,00;0,00;37400,00;9350,00;625
"EPIC TALE                ";4;H;"PUR SANG";3;0;3;37290,00;0,00;37290,00;12430,00;635
"HERVE DU SEUIL           ";4;H;"PUR SANG";5;1;3;37125,00;0,00;37125,00;7425,00;545
"BROTHER BERNARD          ";6;H;"PUR SANG";7;2;3;36250,00;0,00;36250,00;5178,57;565
"WEST COAST               ";3;F;"PUR SANG";6;2;1;36180,00;0,00;36180,00;6030,00;610
"BALADIN DE MESC          ";4;H;"PUR SANG";3;0;3;36140,00;0,00;36140,00;12046,67;650
"NURYADAME                ";4;F;"PUR SANG";2;1;1;36110,00;0,00;36110,00;18055,00;620
"GRAIN DE BONHEUR         ";5;H;"CHEVAL AUTRE QUE PUR SANG";6;1;3;36030,00;0,00;36030,00;6005,00;540
"TENERIFE SEA             ";7;F;"PUR SANG";2;1;0;36000,00;0,00;36000,00;18000,00;660
"GEELONG SPORT            ";5;F;"PUR SANG";7;0;5;35980,00;0,00;35980,00;5140,00;585
"VILLA BIANCA             ";3;F;"PUR SANG";3;2;1;35930,00;0,00;35930,00;11976,67;650
"HENIWAY                  ";4;F;"PUR SANG";4;2;0;35920,00;0,00;35920,00;8980,00;610
"MAMBOSUN                 ";4;H;"PUR SANG";4;1;2;35790,00;0,00;35790,00;8947,50;605
"GUMP MADRIK              ";5;F;"PUR SANG";7;1;5;35110,00;0,00;35110,00;5015,71;505
"JESUITIQUE               ";6;H;"PUR SANG";4;1;3;34500,00;0,00;34500,00;8625,00;550
"HEART WOOD               ";3;H;"PUR SANG";4;0;4;34370,00;0,00;34370,00;8592,50;625
"FALKALEO                 ";6;H;"PUR SANG";3;0;3;34320,00;0,00;34320,00;11440,00;560
"HAKELA DU SEUIL          ";4;F;"PUR SANG";4;1;2;34310,00;0,00;34310,00;8577,50;605
"GRAN DIOSE               ";5;H;"PUR SANG";2;1;1;34200,00;0,00;34200,00;17100,00;600
"FLECHE ROUGE             ";5;F;"PUR SANG";2;1;1;34200,00;0,00;34200,00;17100,00;615
"CALOTIN                  ";7;H;"PUR SANG";3;2;1;34140,00;0,00;34140,00;11380,00;620
"ROYALE MARGAUX           ";3;F;"PUR SANG";4;3;0;34080,00;0,00;34080,00;8520,00;670
"CHICHI DE LA VEGA        ";4;H;"PUR SANG";4;0;3;34050,00;0,00;34050,00;8512,50;595
"FURIMIX                  ";4;H;"PUR SANG";8;2;5;33940,00;0,00;33940,00;4242,50;540
"JE DEVIENS MOI           ";5;H;"PUR SANG";3;0;3;33925,00;0,00;33925,00;11308,33;640
"SHENKO MAGIC             ";9;H;"PUR SANG";7;2;3;33915,00;0,00;33915,00;4845,00;570
"BETONG EMERY             ";5;H;"PUR SANG";5;1;2;33620,00;0,00;33620,00;6724,00;580
"IGLOO D'ESTRUVAL         ";3;H;"PUR SANG";4;2;2;33340,00;0,00;33340,00;8335,00;650
"SURPRISING               ";3;H;"PUR SANG";5;1;2;33315,00;0,00;33315,00;6663,00;625
"HECREVICE                ";4;H;"CHEVAL AUTRE QUE PUR SANG";3;1;2;33135,00;0,00;33135,00;11045,00;590
"PORTO POLLO              ";6;H;"PUR SANG";3;0;2;32850,00;0,00;32850,00;10950,00;690
"KENTAWAY                 ";3;H;"PUR SANG";7;2;3;32715,00;0,00;32715,00;4673,57;600
"MELCHIEF                 ";9;H;"PUR SANG";3;2;0;32640,00;0,00;32640,00;10880,00;630
"MISS FALCON              ";3;F;"PUR SANG";5;1;3;32550,00;0,00;32550,00;6510,00;650
"DUC DES GENIEVRES        ";8;H;"CHEVAL AUTRE QUE PUR SANG";2;1;1;32400,00;0,00;32400,00;16200,00;660
"ASSAD LAWAL              ";6;H;"PUR SANG";13;1;4;31845,00;0,00;31845,00;2449,62;470
"AFFOBURG                 ";7;H;"PUR SANG";8;2;5;31770,00;0,00;31770,00;3971,25;590
"PETIT TONNERRE           ";3;H;"PUR SANG";2;2;0;31700,00;0,00;31700,00;15850,00;
"YEIAYEL                  ";5;H;"PUR SANG";2;2;0;31680,00;0,00;31680,00;15840,00;640
"SONIGINO                 ";4;H;"PUR SANG";2;2;0;31280,00;0,00;31280,00;15640,00;640
"TKLIWY NIHILISTA         ";3;H;"PUR SANG";5;0;5;31190,00;0,00;31190,00;6238,00;640
"VALE OF TOF              ";3;H;"PUR SANG";8;1;4;31130,00;0,00;31130,00;3891,25;610
"FAVA HAS                 ";8;H;"PUR SANG";11;2;6;30905,00;0,00;30905,00;2809,55;540
"CIRANO DE PAIL           ";8;H;"PUR SANG";9;0;7;30810,00;0,00;30810,00;3423,33;535
"GALOPIN DES OBEAUX       ";5;H;"CHEVAL AUTRE QUE PUR SANG";3;1;2;30790,00;0,00;30790,00;10263,33;545
"SPES MILITURF            ";4;H;"PUR SANG";4;4;0;30720,00;0,00;30720,00;7680,00;650
"GUEPARD DU BERLAIS       ";4;H;"PUR SANG";5;0;3;30500,00;0,00;30500,00;6100,00;560
"TEXARD                   ";6;H;"PUR SANG";3;1;1;30490,00;0,00;30490,00;10163,33;585
"FIX AT ALL               ";5;H;"PUR SANG";3;2;0;30240,00;0,00;30240,00;10080,00;620
"ASTADAME                 ";4;F;"PUR SANG";2;1;1;30220,00;0,00;30220,00;15110,00;670
"FILUP                    ";6;H;"CHEVAL AUTRE QUE PUR SANG";3;0;3;30160,00;0,00;30160,00;10053,33;575
"LASSANA                  ";3;F;"PUR SANG";3;1;1;30040,00;0,00;30040,00;10013,33;345
"MCGROARTY                ";10;H;"PUR SANG";4;0;3;29980,00;0,00;29980,00;7495,00;600
"FILE AU POTEAU           ";3;H;"PUR SANG";3;1;2;29935,00;0,00;29935,00;9978,33;640
"KOLINA HAS               ";4;F;"PUR SANG";3;0;3;29845,00;0,00;29845,00;9948,33;610
"GALLEO CONTI             ";5;H;"CHEVAL AUTRE QUE PUR SANG";3;1;2;29820,00;0,00;29820,00;9940,00;710
"GAELIK FIRST             ";6;F;"PUR SANG";10;0;6;29535,00;0,00;29535,00;2953,50;535
"TOP CRESSELIA            ";3;F;"PUR SANG";9;1;5;29520,00;0,00;29520,00;3280,00;570
"MASTER GOLD              ";5;H;"PUR SANG";6;1;2;29500,00;0,00;29500,00;4916,67;530
"CANFORD WINE             ";4;H;"PUR SANG";10;1;5;29340,00;0,00;29340,00;2934,00;540
"EDITION SPECIALE         ";4;F;"PUR SANG";5;2;0;29300,00;0,00;29300,00;5860,00;595
"RHUM BLEU                ";3;H;"PUR SANG";6;0;5;29020,00;0,00;29020,00;4836,67;640
"AIMANT                   ";3;H;"PUR SANG";1;1;0;28980,00;0,00;28980,00;28980,00;
"HAWAI DU BERLAIS         ";3;F;"PUR SANG";1;1;0;28980,00;0,00;28980,00;28980,00;
"SOLENZERA SENAM          ";4;F;"PUR SANG";2;0;2;28890,00;0,00;28890,00;14445,00;665
"ZADALL                   ";5;H;"PUR SANG";7;2;3;28885,00;0,00;28885,00;4126,43;585
"LORASON                  ";3;H;"PUR SANG";2;1;1;28835,00;0,00;28835,00;14417,50;
"CELTIC GIRL              ";4;F;"PUR SANG";7;1;4;28780,00;0,00;28780,00;4111,43;540
"SELMA                    ";3;F;"PUR SANG";6;0;6;28590,00;0,00;28590,00;4765,00;620
"PRINCE DE BELLOUET       ";9;H;"PUR SANG";4;1;2;28395,00;0,00;28395,00;7098,75;610
"BRIC                     ";6;H;"PUR SANG";6;0;5;28195,00;0,00;28195,00;4699,17;550
"SAMOZO                   ";3;H;"PUR SANG";9;1;6;28090,00;0,00;28090,00;3121,11;575
"ICONE D'OUDAIRIES        ";3;F;"CHEVAL AUTRE QUE PUR SANG";3;2;1;28080,00;0,00;28080,00;9360,00;660
"IL RIDOTO                ";4;H;"PUR SANG";2;2;0;28060,00;0,00;28060,00;14030,00;640
"APAULSTAR                ";4;H;"PUR SANG";2;1;1;28000,00;0,00;28000,00;14000,00;560
"FASHION BAIE             ";6;F;"PUR SANG";6;3;3;27890,00;0,00;27890,00;4648,33;540
"GOLDEN YEARS             ";5;H;"PUR SANG";4;1;2;27855,00;0,00;27855,00;6963,75;590
"OBEONE                   ";4;F;"PUR SANG";2;1;1;27730,00;0,00;27730,00;13865,00;650
"GIBRALFARO               ";3;H;"PUR SANG";6;2;1;27620,00;0,00;27620,00;4603,33;670
"GRAND ONCLE              ";5;H;"CHEVAL AUTRE QUE PUR SANG";2;0;2;27620,00;0,00;27620,00;13810,00;580
"INIESTA DU GOUET         ";3;H;"PUR SANG";3;1;1;27600,00;0,00;27600,00;9200,00;655
"FRET D'ESTRUVAL          ";6;H;"CHEVAL AUTRE QUE PUR SANG";2;1;1;27375,00;0,00;27375,00;13687,50;595
"NOVOLINO                 ";5;H;"PUR SANG";2;1;1;27230,00;0,00;27230,00;13615,00;
"HYPNOTIK                 ";4;H;"CHEVAL AUTRE QUE PUR SANG";3;1;1;27080,00;0,00;27080,00;9026,67;600
"FAN DE CHABA             ";6;H;"CHEVAL AUTRE QUE PUR SANG";6;2;3;26975,00;0,00;26975,00;4495,83;580
"BEST BOWL                ";5;H;"PUR SANG";6;0;6;26900,00;0,00;26900,00;4483,33;570
"MORGENSTERN              ";4;H;"PUR SANG";6;1;5;26820,00;0,00;26820,00;4470,00;560
"DINOZAURE                ";4;H;"PUR SANG";5;1;3;26805,00;0,00;26805,00;5361,00;575
"TERRE ETOILEE            ";4;F;"PUR SANG";5;0;4;26675,00;0,00;26675,00;5335,00;530
"HIREINE DE LAGARDE AA    ";4;F;ANGLO-ARABE;6;2;4;26540,00;0,00;26540,00;4423,33;
"BLEKOVA                  ";5;F;"PUR SANG";4;1;1;26415,00;0,00;26415,00;6603,75;570
"LE BERRY                 ";5;H;"PUR SANG";1;1;0;26400,00;0,00;26400,00;26400,00;800
"LORADAME                 ";5;F;"PUR SANG";2;0;2;26400,00;0,00;26400,00;13200,00;710
"TROU NORMAND             ";4;H;"PUR SANG";4;2;1;26310,00;0,00;26310,00;6577,50;610
"OH MARIE                 ";3;F;"PUR SANG";5;2;2;26295,00;0,00;26295,00;5259,00;580
"NORMANDE                 ";4;F;"PUR SANG";9;3;2;26225,00;0,00;26225,00;2913,89;575
"BUEN STAR                ";8;H;"PUR SANG";9;3;4;26140,00;0,00;26140,00;2904,44;525
"LORD CHART               ";4;H;"PUR SANG";2;0;2;26130,00;0,00;26130,00;13065,00;635
"GREY FALCON              ";4;H;"PUR SANG";4;1;1;26100,00;0,00;26100,00;6525,00;575
"VERNON SUBUTEX           ";4;H;"PUR SANG";4;2;1;26020,00;0,00;26020,00;6505,00;570
"GENERAL EN CHEF          ";5;H;"CHEVAL AUTRE QUE PUR SANG";2;1;1;25875,00;0,00;25875,00;12937,50;770
"LAWRENCE D'ARABIE        ";4;H;"PUR SANG";2;2;0;25760,00;0,00;25760,00;12880,00;
"YOU'RE THE BOSS          ";3;H;"PUR SANG";2;0;2;25690,00;0,00;25690,00;12845,00;
"SAINTAMARIN              ";3;F;"PUR SANG";3;0;3;25600,00;0,00;25600,00;8533,33;655
"RHELIGHONNE              ";3;F;"PUR SANG";4;1;2;25595,00;0,00;25595,00;6398,75;620
"LA BONDUE                ";5;F;"PUR SANG";4;2;1;25530,00;0,00;25530,00;6382,50;610
"MACHO BORIS              ";6;H;"PUR SANG";5;0;5;25480,00;0,00;25480,00;5096,00;505
"LADY MARTALINE           ";3;F;"PUR SANG";4;0;3;25380,00;0,00;25380,00;6345,00;635
"LUCKY DREAM              ";4;H;"PUR SANG";2;1;1;25300,00;0,00;25300,00;12650,00;
"RELIABLE SON             ";5;H;"PUR SANG";4;0;3;25260,00;0,00;25260,00;6315,00;590
"PRIMCO                   ";3;H;"PUR SANG";6;1;3;25215,00;0,00;25215,00;4202,50;590
"PASCASHA D'OR            ";7;H;"PUR SANG";2;1;0;25200,00;0,00;25200,00;12600,00;600
"SORAL DE KERZEL          ";7;H;"PUR SANG";7;0;7;25200,00;0,00;25200,00;3600,00;525
"SIX ONE                  ";4;H;"PUR SANG";4;0;2;25150,00;0,00;25150,00;6287,50;585
"ROBERTA HAS              ";4;F;"PUR SANG";2;1;1;25070,00;0,00;25070,00;12535,00;640
"FAUTINETTE               ";3;F;"PUR SANG";3;3;0;24960,00;0,00;24960,00;8320,00;670
"THE GREY LADY            ";3;F;"PUR SANG";1;1;0;24960,00;0,00;24960,00;24960,00;
"PORTICELLO               ";3;H;"PUR SANG";1;1;0;24960,00;0,00;24960,00;24960,00;
"AVEL DE KERBARH          ";5;H;"PUR SANG";2;1;1;24940,00;0,00;24940,00;12470,00;575
"DALYOTIN                 ";5;H;"PUR SANG";5;0;4;24920,00;0,00;24920,00;4984,00;580
"SAINT LANGIS             ";3;H;"PUR SANG";1;1;0;24840,00;0,00;24840,00;24840,00;
"VAE PATRON               ";3;H;"PUR SANG";1;1;0;24840,00;0,00;24840,00;24840,00;340
"ONE MORE LIGHT           ";3;F;"PUR SANG";1;1;0;24840,00;0,00;24840,00;24840,00;335
"GRACE DE DIEU            ";5;F;"CHEVAL AUTRE QUE PUR SANG";1;1;0;24300,00;0,00;24300,00;24300,00;590
"SANTO DOMINGO            ";4;H;"PUR SANG";4;1;3;24300,00;0,00;24300,00;6075,00;610
"PAINT PRINCE             ";3;H;"PUR SANG";4;1;1;24260,00;0,00;24260,00;6065,00;610
"PRINCESS LEA             ";4;F;"PUR SANG";4;2;2;24080,00;0,00;24080,00;6020,00;605
"GOLDEN WITCH             ";4;F;"PUR SANG";5;0;4;24025,00;0,00;24025,00;4805,00;560
"MI AIME A OU             ";3;F;"PUR SANG";3;1;0;24000,00;0,00;24000,00;8000,00;
"BIPBIP HAS               ";3;F;"PUR SANG";3;1;2;23975,00;0,00;23975,00;7991,67;620
"BELLA SCINTILLA          ";3;F;"PUR SANG";4;0;3;23960,00;0,00;23960,00;5990,00;645
"BEAUTIFUL SECRET         ";6;H;"PUR SANG";9;1;5;23940,00;0,00;23940,00;2660,00;555
"LE PLOUGASTELLEN         ";4;H;"PUR SANG";2;1;1;23915,00;0,00;23915,00;11957,50;620
"TETRIS DU MAZET          ";3;H;"PUR SANG";3;2;1;23900,00;0,00;23900,00;7966,67;660
"LET ME WIN               ";4;H;"PUR SANG";3;0;3;23870,00;0,00;23870,00;7956,67;570
"TANGANYIKA               ";3;H;"PUR SANG";3;1;1;23760,00;0,00;23760,00;7920,00;615
"FLORENCE                 ";4;F;"PUR SANG";8;0;8;23690,00;0,00;23690,00;2961,25;525
"HISTOIRE DE              ";4;H;"CHEVAL AUTRE QUE PUR SANG";2;1;1;23645,00;0,00;23645,00;11822,50;
"STERN IDOL               ";4;H;"PUR SANG";5;1;3;23640,00;0,00;23640,00;4728,00;580
"ROCK ME                  ";4;F;"PUR SANG";2;1;1;23600,00;0,00;23600,00;11800,00;620
"HARESCA DU TABERT        ";4;F;"CHEVAL AUTRE QUE PUR SANG";6;0;5;23570,00;0,00;23570,00;3928,33;570
"HELIANTHUS               ";4;H;"PUR SANG";9;3;3;23460,00;0,00;23460,00;2606,67;540
"TZAR ROYAL               ";5;H;"PUR SANG";1;1;0;23400,00;0,00;23400,00;23400,00;595
"QUEEN DOCTOR             ";3;F;"PUR SANG";6;3;1;23305,00;0,00;23305,00;3884,17;595
"JAVADO                   ";3;H;"PUR SANG";6;0;5;23255,00;0,00;23255,00;3875,83;615
"BLISS FOR EVER           ";5;H;"PUR SANG";3;1;0;23040,00;0,00;23040,00;7680,00;350
"ELIXIR PEARL             ";7;H;"PUR SANG";8;0;6;23040,00;0,00;23040,00;2880,00;510
"HISTOIRE DE COEUR        ";4;F;"CHEVAL AUTRE QUE PUR SANG";4;0;3;23030,00;0,00;23030,00;5757,50;570
"LOUANAS                  ";5;F;"PUR SANG";3;1;2;23015,00;0,00;23015,00;7671,67;600
